Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Sulitelmavägen 9,77638.88888888889,True,Traneberg,False,3.0,"Traneberg,Stockholm",2690.0,Stockholms kommun,False,2795000,36.0,2.0,59.3367013,17.9759288,59.3324,18.0645,5.045778853911267
Långholmsgatan 11,103939.39393939394,False,Södermalm,True,1.0,"Södermalm,Stockholm",2000.0,Stockholms kommun,False,3430000,33.0,1.0,59.3171361,18.0332059,59.3324,18.0645,2.456071536946033
Finslipargränd 15,47454.545454545456,True,Centralt,True,3.0,"Centralt,Huddinge",4600.0,Huddinge kommun,False,2610000,55.0,2.0,59.2335125,17.9892637,59.3324,18.0645,11.796961725747765
Forskningsringen 83B,56153.84615384616,True,Ursvik,True,4.0,"Ursvik,Sundbyberg",3029.0,Sundbybergs kommun,False,2190000,39.0,2.0,59.3815248,17.9526719,59.3324,18.0645,8.366965097991379
Järnvägsgatan 92,57142.857142857145,False,Centrala Sundbyberg,False,1.0,"Centrala Sundbyberg,Sundbyberg",4900.0,Sundbybergs kommun,True,2800000,49.0,2.0,59.36639425,17.95334845,59.3324,18.0645,7.347750518123574
Ektorpsvägen 1,63750.0,True,Ektorp,True,4.0,"Ektorp,Nacka",5776.0,Nacka kommun,False,5100000,80.0,4.0,59.3108169,18.199518577105934,59.3324,18.0645,8.027257846400655
Ölmevägen 18,38076.92307692308,True,Farsta,False,2.0,"Farsta,Stockholm",4778.0,Stockholms kommun,False,2970000,78.0,3.0,59.2428913,18.0831936,59.3324,18.0645,10.009371217215522
Hässleholmsvägen 11,72500.0,True,Björkhagen,True,5.0,"Björkhagen,Stockholm",4462.0,Stockholms kommun,False,5220000,72.0,3.0,59.290596,18.1185074,59.3324,18.0645,5.567897387693178
Hässleholmsvägen 11,68518.51851851853,True,Björkhagen,True,6.0,"Björkhagen,Stockholm",3438.0,Stockholms kommun,False,3700000,54.0,2.0,59.290596,18.1185074,59.3324,18.0645,5.567897387693178
Oxenstiernas Allé 14,46303.030303030304,True,Ursvik,True,5.0,"Ursvik,Sundbyberg",4913.0,Sundbybergs kommun,False,3820000,82.5,3.5,59.3827945,17.9453665,59.3324,18.0645,8.77418258855292
Upplysningens väg 23,46057.69230769231,True,Centrala Väsby,True,2.0,"Centrala Väsby,Upplands Väsby",3250.0,Upplands Väsby kommun,False,2395000,52.0,2.0,59.5190961,17.9009234,59.3324,18.0645,22.727947686139373
Hertigvägen 8,68879.31034482758,True,Aspudden,False,2.0,"Aspudden,Stockholm",3298.0,Stockholms kommun,False,3995000,58.0,2.0,59.3065648,17.991697,59.3324,18.0645,5.031387801542134
Melodivägen 14,35000.0,True,Skogås,True,2.0,"Skogås,Huddinge",3306.0,Huddinge kommun,False,1610000,46.0,1.0,59.2181299,18.1566959,59.3324,18.0645,13.743464638061637
Axvägen 3,49772.72727272727,False,Viksjö,False,1.0,"Viksjö,Järfälla",2449.0,Järfälla kommun,False,1095000,22.0,1.0,59.227999499999996,18.21307776614897,59.3324,18.0645,14.352408048564648
Turebergs Allé 43,68846.15384615384,True,Tureberg,True,2.0,"Tureberg,Sollentuna",1764.0,Sollentuna kommun,False,1790000,26.0,1.0,59.4336164,17.941276,59.3324,18.0645,13.242592866821235
Karlavägen 31B,61739.13043478261,True,Hersby,True,3.0,"Hersby,Lidingö",4670.0,Lidingö kommun,True,4260000,69.0,3.0,59.3403853,18.0762069,59.3324,18.0645,1.1086733409781033
Centrumslingan 47,67307.69230769231,True,Solna Centrum,True,6.0,"Solna Centrum,Solna",3988.0,Solna kommun,False,5250000,78.0,3.0,59.3606836,17.998839,59.3324,18.0645,4.873159480510682
Tullingebergsvägen 8B,32935.779816513765,True,Tullinge,False,3.0,"Tullinge,Botkyrka",4208.0,Botkyrka kommun,False,1795000,54.5,2.0,59.2123902,17.9080512,59.3324,18.0645,16.03387334835934
Virkesvägen 17,79142.85714285714,False,Hammarby Sjöstad,True,6.0,"Hammarby Sjöstad,Stockholm",7413.0,Stockholms kommun,False,8310000,105.0,4.0,59.20130655,18.18177298747224,59.3324,18.0645,16.027979366755584
Kungssätravägen 18,48658.53658536585,True,Sätra,True,4.0,"Sätra,Stockholm",3295.0,Stockholms kommun,False,1995000,41.0,2.0,59.2852965,17.9252608,59.3324,18.0645,9.48066474367994
Swedenborgsgatan 25,88852.45901639345,True,Södermalm,True,5.0,"Södermalm,Stockholm",3721.0,Stockholms kommun,False,5420000,61.0,2.0,59.3135002,18.0653473,59.3324,18.0645,2.102111533969058
Kungssätravägen 25B,33020.13422818792,True,Sätra,False,2.0,"Sätra,Stockholm",5836.0,Stockholms kommun,False,2460000,74.5,3.0,59.2852965,17.9252608,59.3324,18.0645,9.48066474367994
Västmannagatan 32,122567.56756756756,True,Vasastan,True,2.0,"Vasastan,Stockholm",3227.0,Stockholms kommun,False,9070000,74.0,3.0,59.3391323,18.0503679,59.3324,18.0645,1.096673430721512
Ribby Allé 22,30666.666666666668,True,Ribby,False,2.0,"Ribby,Haninge",7498.0,Haninge kommun,False,2070000,67.5,3.0,59.12111405,18.113016274797804,59.3324,18.0645,23.655508650662494
Öregrundsgatan 15,101847.13375796178,True,Gärdet,True,6.0,"Gärdet,Stockholm",3957.0,Stockholms kommun,False,7995000,78.5,3.0,59.3456004,18.1111666,59.3324,18.0645,3.0260438749358824
Härnevi Skolväg 9B,43780.48780487805,True,Bro,True,3.0,"Bro,Upplands-Bro",2505.0,Upplands-Bro kommun,False,1795000,41.0,2.0,59.5142175,17.6323378,59.3324,18.0645,31.721829434138883
Kyrkbacken 31,91891.8918918919,False,Hagalund,True,2.0,"Hagalund,Solna",1525.0,Solna kommun,False,1700000,18.5,1.0,59.3616617,18.0080474,59.3324,18.0645,4.5639098110915155
Lingvägen 195,45932.20338983051,True,Hökarängen,True,3.0,"Hökarängen,Stockholm",3399.0,Stockholms kommun,False,2710000,59.0,2.0,59.2534217,18.0922432,59.3324,18.0645,8.922155604519963
Kvarngränd 5,72375.0,False,Kvarnholmen,True,5.0,"Kvarnholmen,Nacka",2170.0,Nacka kommun,False,2895000,40.0,1.0,59.3172091,18.1382669,59.3324,18.0645,4.5127320725099995
Evenemangsgatan 30,65714.28571428571,True,Arenastaden,True,6.0,"Arenastaden,Solna",2523.0,Solna kommun,False,3220000,49.0,2.0,59.37207025,17.99842525013016,59.3324,18.0645,5.786644034779502
Fogdevreten 10,64558.82352941176,False,Karolinska,True,1.0,"Karolinska,Solna",2150.0,Solna kommun,False,2195000,34.0,1.0,59.351911799999996,18.01933279078353,59.3324,18.0645,3.3564428735800664
Kavallerigatan 40,27531.645569620254,True,Centrala Upplands Väsby,False,2.0,"Centrala Upplands Väsby,Upplands Väsby",5010.0,Upplands Väsby kommun,False,2175000,79.0,3.0,59.5153884,17.915561,59.3324,18.0645,22.02240281303365
Sveavägen 134,111515.15151515152,False,Vasastan,True,0.0,"Vasastan,Stockholm",1817.0,Stockholms kommun,False,3680000,33.0,2.0,59.3460812,18.0545629,59.3324,18.0645,1.6222818222054278
